# Wavelength(um) Reflectance(%)
7.500000000000000000e-01 1.616334525758370347e-02
7.512512512512512508e-01 1.578085010599722740e-02
7.525025025025025016e-01 1.531056397844189100e-02
7.537537537537537524e-01 1.475834907434858331e-02
7.550050050050050032e-01 1.413096842053813973e-02
7.562562562562562540e-01 1.343600686449645219e-02
7.575075075075075048e-01 1.268178460265837609e-02
7.587587587587587556e-01 1.187726387275405034e-02
7.600100100100100065e-01 1.103194950274342251e-02
7.612612612612612573e-01 1.015578408591833945e-02
7.625125125125125081e-01 9.259038639777086160e-03
7.637637637637637589e-01 8.352199701718810917e-03
7.650150150150150097e-01 7.445853913158001144e-03
7.662662662662662605e-01 6.550571240402822473e-03
7.675175175175175113e-01 5.676788070249500981e-03
7.687687687687687621e-01 4.834691495257617370e-03
7.700200200200200129e-01 4.034106162699883057e-03
7.712712712712712637e-01 3.284385097252806411e-03
7.725225225225225145e-01 2.594305916250820750e-03
7.737737737737737653e-01 1.971973834362289891e-03
7.750250250250250161e-01 1.424732799551511973e-03
7.762762762762762669e-01 9.590860132066748476e-04
7.775275275275275177e-01 5.806269647873482046e-04
7.787787787787787686e-01 2.939819572080450485e-04
7.800300300300300194e-01 1.027649167929216159e-04
7.812812812812812702e-01 9.545075685544731218e-06
7.825325325325325210e-01 1.582789088146301104e-05
7.837837837837837718e-01 1.220493292243142566e-04
7.850350350350350226e-01 3.275834089734440293e-04
7.862862862862862734e-01 6.307626533148722424e-04
7.875375375375375242e-01 1.028910886696226277e-03
7.887887887887887750e-01 1.518387597875228657e-03
7.900400400400400258e-01 2.094642910029198557e-03
7.912912912912912766e-01 2.752282043072554196e-03
7.925425425425425274e-01 3.485138030121167317e-03
7.937937937937937782e-01 4.286351361103246140e-03
7.950450450450450290e-01 5.148455172755907368e-03
7.962962962962962798e-01 6.063464585185743792e-03
7.975475475475475307e-01 7.022968799121577163e-03
7.987987987987987815e-01 8.018224612147864527e-03
8.000500500500500323e-01 9.040250082925542843e-03
8.013013013013012831e-01 1.007991716537330086e-02
8.025525525525525339e-01 1.112804224528483529e-02
8.038038038038037847e-01 1.217547363502103144e-02
8.050550550550550355e-01 1.321317521291141134e-02
8.063063063063062863e-01 1.423230552823777015e-02
8.075575575575575371e-01 1.522429182595998534e-02
8.088088088088087879e-01 1.618089857400529033e-02
8.100600600600600387e-01 1.709429019688299065e-02
8.113113113113112895e-01 1.795708783016505480e-02
8.125625625625625403e-01 1.876242000917475658e-02
8.138138138138137911e-01 1.950396729087128939e-02
8.150650650650650419e-01 2.017600087980857618e-02
8.163163163163162928e-01 2.077341538710452198e-02
8.175675675675675436e-01 2.129175589596635568e-02
8.188188188188187944e-01 2.172723953923299048e-02
8.200700700700700452e-01 2.207677181468549812e-02
8.213213213213212960e-01 2.233795787382739442e-02
8.225725725725725468e-01 2.250910902091009247e-02
8.238238238238237976e-01 2.258924465271759316e-02
